usage_id,job_id,asset_id,equipment_type,usage_date,site_name,hours_worked,rain_flag,float_required,operator_name
USE00995,JOB0030,CP001,Compactor 815F,2026-01-16,Epping,8.0,True,True,Henry Johnson
USE01005,JOB0030,DT001,Dump Truck 30T,2026-01-16,Epping,6.0,False,True,Oliver Taylor
USE01015,JOB0030,EX002,20T Excavator,2026-01-16,Epping,11.0,False,False,Jack Smith
USE01000,JOB0030,EX005,50T Excavator,2026-01-16,Epping,10.5,False,False,Lucas Wilson
USE01010,JOB0030,GR001,Grader 12M,2026-01-16,Epping,9.0,False,False,Thomas Brown
USE01225,JOB0037,CP001,Compactor 815F,2026-01-16,Geelong,9.0,False,True,Henry Johnson
USE01238,JOB0037,DT001,Dump Truck 30T,2026-01-16,Geelong,8.0,False,True,Oliver Taylor
USE01264,JOB0037,EX002,20T Excavator,2026-01-16,Geelong,12.0,False,True,Jack Smith
USE01251,JOB0037,EX003,26T Excavator,2026-01-16,Geelong,8.5,True,True,William Jones
USE01277,JOB0037,LD002,Loader 4m,2026-01-16,Geelong,8.5,False,True,Jack Smith
USE00136,JOB0005,BC001,Bobcat+8T Tipper,2026-01-17,Campbellfield,8.5,True,False,Lachlan Martin
USE00114,JOB0005,CP001,Compactor 815F,2026-01-17,Campbellfield,9.0,True,True,Henry Johnson
USE00103,JOB0005,DT001,Dump Truck 30T,2026-01-17,Campbellfield,6.5,False,True,Oliver Taylor
USE00125,JOB0005,EX004,35T Excavator,2026-01-17,Campbellfield,8.0,True,False,Thomas Brown
USE00996,JOB0030,CP001,Compactor 815F,2026-01-17,Epping,10.5,False,True,Henry Johnson
USE01006,JOB0030,DT001,Dump Truck 30T,2026-01-17,Epping,9.0,False,True,Oliver Taylor
USE01016,JOB0030,EX002,20T Excavator,2026-01-17,Epping,9.5,False,True,Jack Smith
USE01001,JOB0030,EX005,50T Excavator,2026-01-17,Epping,10.5,False,False,Lucas Wilson
USE01011,JOB0030,GR001,Grader 12M,2026-01-17,Epping,8.5,False,False,Thomas Brown
USE01226,JOB0037,CP001,Compactor 815F,2026-01-17,Geelong,7.0,False,True,Henry Johnson
USE01239,JOB0037,DT001,Dump Truck 30T,2026-01-17,Geelong,6.5,False,True,Oliver Taylor
USE01265,JOB0037,EX002,20T Excavator,2026-01-17,Geelong,11.5,False,True,Jack Smith
USE01252,JOB0037,EX003,26T Excavator,2026-01-17,Geelong,8.0,False,False,William Jones
USE01278,JOB0037,LD002,Loader 4m,2026-01-17,Geelong,9.5,False,False,Jack Smith
USE00137,JOB0005,BC001,Bobcat+8T Tipper,2026-01-19,Campbellfield,7.5,False,False,Lachlan Martin
USE00115,JOB0005,CP001,Compactor 815F,2026-01-19,Campbellfield,8.5,False,True,Henry Johnson
USE00104,JOB0005,DT001,Dump Truck 30T,2026-01-19,Campbellfield,8.5,False,True,Oliver Taylor
USE00126,JOB0005,EX004,35T Excavator,2026-01-19,Campbellfield,8.5,False,False,Thomas Brown
USE00835,JOB0026,BC001,Bobcat+8T Tipper,2026-01-19,Geelong,8.5,True,True,Lachlan Martin
USE00819,JOB0026,EX001,13T Excavator,2026-01-19,Geelong,9.5,True,True,Noah Williams
USE00827,JOB0026,LD001,Loader 3m,2026-01-19,Geelong,7.5,False,True,Noah Williams
USE01227,JOB0037,CP001,Compactor 815F,2026-01-19,Geelong,9.0,False,True,Henry Johnson
USE01240,JOB0037,DT001,Dump Truck 30T,2026-01-19,Geelong,7.5,False,True,Oliver Taylor
USE01266,JOB0037,EX002,20T Excavator,2026-01-19,Geelong,9.0,False,False,Jack Smith
USE01253,JOB0037,EX003,26T Excavator,2026-01-19,Geelong,11.0,False,False,William Jones
USE01279,JOB0037,LD002,Loader 4m,2026-01-19,Geelong,8.5,True,False,Jack Smith
USE00138,JOB0005,BC001,Bobcat+8T Tipper,2026-01-20,Campbellfield,8.5,False,True,Lachlan Martin
USE00116,JOB0005,CP001,Compactor 815F,2026-01-20,Campbellfield,9.5,False,True,Henry Johnson
USE00105,JOB0005,DT001,Dump Truck 30T,2026-01-20,Campbellfield,9.5,False,True,Oliver Taylor
USE00127,JOB0005,EX004,35T Excavator,2026-01-20,Campbellfield,10.5,False,False,Thomas Brown
USE00836,JOB0026,BC001,Bobcat+8T Tipper,2026-01-20,Geelong,9.0,False,True,Lachlan Martin
USE00820,JOB0026,EX001,13T Excavator,2026-01-20,Geelong,6.5,False,False,Noah Williams
USE00828,JOB0026,LD001,Loader 3m,2026-01-20,Geelong,9.0,False,False,Noah Williams
USE01228,JOB0037,CP001,Compactor 815F,2026-01-20,Geelong,10.0,False,True,Henry Johnson
USE01241,JOB0037,DT001,Dump Truck 30T,2026-01-20,Geelong,7.5,False,True,Oliver Taylor
USE01267,JOB0037,EX002,20T Excavator,2026-01-20,Geelong,9.5,False,False,Jack Smith
USE01254,JOB0037,EX003,26T Excavator,2026-01-20,Geelong,11.5,True,False,William Jones
USE01280,JOB0037,LD002,Loader 4m,2026-01-20,Geelong,9.5,True,False,Jack Smith
USE00139,JOB0005,BC001,Bobcat+8T Tipper,2026-01-21,Campbellfield,8.0,False,True,Lachlan Martin
USE00117,JOB0005,CP001,Compactor 815F,2026-01-21,Campbellfield,12.0,False,True,Henry Johnson
USE00106,JOB0005,DT001,Dump Truck 30T,2026-01-21,Campbellfield,9.5,False,True,Oliver Taylor
USE00128,JOB0005,EX004,35T Excavator,2026-01-21,Campbellfield,10.5,False,False,Thomas Brown
USE00837,JOB0026,BC001,Bobcat+8T Tipper,2026-01-21,Geelong,8.0,False,True,Lachlan Martin
USE00821,JOB0026,EX001,13T Excavator,2026-01-21,Geelong,7.5,False,False,Noah Williams
USE00829,JOB0026,LD001,Loader 3m,2026-01-21,Geelong,9.5,True,False,Noah Williams
USE01229,JOB0037,CP001,Compactor 815F,2026-01-21,Geelong,9.5,False,True,Henry Johnson
USE01242,JOB0037,DT001,Dump Truck 30T,2026-01-21,Geelong,11.5,False,True,Oliver Taylor
USE01268,JOB0037,EX002,20T Excavator,2026-01-21,Geelong,12.0,False,False,Jack Smith
USE01255,JOB0037,EX003,26T Excavator,2026-01-21,Geelong,8.5,True,False,William Jones
USE01281,JOB0037,LD002,Loader 4m,2026-01-21,Geelong,8.0,False,False,Jack Smith
USE00140,JOB0005,BC001,Bobcat+8T Tipper,2026-01-22,Campbellfield,8.0,True,True,Lachlan Martin
USE00118,JOB0005,CP001,Compactor 815F,2026-01-22,Campbellfield,7.5,False,True,Henry Johnson
USE00107,JOB0005,DT001,Dump Truck 30T,2026-01-22,Campbellfield,9.5,False,True,Oliver Taylor
USE00129,JOB0005,EX004,35T Excavator,2026-01-22,Campbellfield,11.0,False,False,Thomas Brown
USE00838,JOB0026,BC001,Bobcat+8T Tipper,2026-01-22,Geelong,11.5,False,True,Lachlan Martin
USE00822,JOB0026,EX001,13T Excavator,2026-01-22,Geelong,9.5,False,False,Noah Williams
USE00830,JOB0026,LD001,Loader 3m,2026-01-22,Geelong,11.0,False,False,Noah Williams
USE01230,JOB0037,CP001,Compactor 815F,2026-01-22,Geelong,6.5,True,True,Henry Johnson
USE01243,JOB0037,DT001,Dump Truck 30T,2026-01-22,Geelong,6.0,False,True,Oliver Taylor
USE01269,JOB0037,EX002,20T Excavator,2026-01-22,Geelong,8.0,False,False,Jack Smith
USE01256,JOB0037,EX003,26T Excavator,2026-01-22,Geelong,11.5,False,False,William Jones
USE01282,JOB0037,LD002,Loader 4m,2026-01-22,Geelong,8.0,False,False,Jack Smith
USE01406,JOB0040,EX005,50T Excavator,2026-01-22,Epping,12.0,False,False,Lucas Wilson
USE01378,JOB0040,GR001,Grader 12M,2026-01-22,Epping,8.5,False,False,Thomas Brown
USE01392,JOB0040,LD002,Loader 4m,2026-01-22,Epping,6.5,False,True,Jack Smith
USE00141,JOB0005,BC001,Bobcat+8T Tipper,2026-01-23,Campbellfield,8.0,False,True,Lachlan Martin
USE00119,JOB0005,CP001,Compactor 815F,2026-01-23,Campbellfield,10.0,False,True,Henry Johnson
USE00108,JOB0005,DT001,Dump Truck 30T,2026-01-23,Campbellfield,9.5,False,True,Oliver Taylor
USE00130,JOB0005,EX004,35T Excavator,2026-01-23,Campbellfield,9.5,False,False,Thomas Brown
USE00839,JOB0026,BC001,Bobcat+8T Tipper,2026-01-23,Geelong,9.5,False,True,Lachlan Martin
USE00823,JOB0026,EX001,13T Excavator,2026-01-23,Geelong,8.5,False,False,Noah Williams
USE00831,JOB0026,LD001,Loader 3m,2026-01-23,Geelong,10.5,True,False,Noah Williams
USE01231,JOB0037,CP001,Compactor 815F,2026-01-23,Geelong,10.0,False,True,Henry Johnson
USE01244,JOB0037,DT001,Dump Truck 30T,2026-01-23,Geelong,9.5,False,True,Oliver Taylor
USE01270,JOB0037,EX002,20T Excavator,2026-01-23,Geelong,6.5,False,False,Jack Smith
USE01257,JOB0037,EX003,26T Excavator,2026-01-23,Geelong,8.5,True,False,William Jones
USE01283,JOB0037,LD002,Loader 4m,2026-01-23,Geelong,7.0,False,True,Jack Smith
USE01407,JOB0040,EX005,50T Excavator,2026-01-23,Epping,6.0,False,False,Lucas Wilson
USE01379,JOB0040,GR001,Grader 12M,2026-01-23,Epping,11.0,False,False,Thomas Brown
USE01393,JOB0040,LD002,Loader 4m,2026-01-23,Epping,9.5,False,True,Jack Smith
USE00840,JOB0026,BC001,Bobcat+8T Tipper,2026-01-24,Geelong,8.5,True,False,Lachlan Martin
USE00824,JOB0026,EX001,13T Excavator,2026-01-24,Geelong,6.5,False,False,Noah Williams
USE00832,JOB0026,LD001,Loader 3m,2026-01-24,Geelong,8.0,True,False,Noah Williams
USE01232,JOB0037,CP001,Compactor 815F,2026-01-24,Geelong,10.5,False,False,Henry Johnson
USE01245,JOB0037,DT001,Dump Truck 30T,2026-01-24,Geelong,11.0,True,False,Oliver Taylor
USE01271,JOB0037,EX002,20T Excavator,2026-01-24,Geelong,8.5,False,False,Jack Smith
USE01258,JOB0037,EX003,26T Excavator,2026-01-24,Geelong,11.5,True,False,William Jones
USE01284,JOB0037,LD002,Loader 4m,2026-01-24,Geelong,10.0,False,True,Jack Smith
USE01408,JOB0040,EX005,50T Excavator,2026-01-24,Epping,9.5,True,False,Lucas Wilson
USE01380,JOB0040,GR001,Grader 12M,2026-01-24,Epping,8.0,False,False,Thomas Brown
USE01394,JOB0040,LD002,Loader 4m,2026-01-24,Epping,9.5,False,True,Jack Smith
USE00841,JOB0026,BC001,Bobcat+8T Tipper,2026-01-26,Geelong,10.0,False,False,Lachlan Martin
USE00825,JOB0026,EX001,13T Excavator,2026-01-26,Geelong,11.0,False,False,Noah Williams
USE00833,JOB0026,LD001,Loader 3m,2026-01-26,Geelong,9.0,True,False,Noah Williams
USE01233,JOB0037,CP001,Compactor 815F,2026-01-26,Geelong,12.0,False,False,Henry Johnson
USE01246,JOB0037,DT001,Dump Truck 30T,2026-01-26,Geelong,10.5,False,False,Oliver Taylor
USE01272,JOB0037,EX002,20T Excavator,2026-01-26,Geelong,8.0,True,False,Jack Smith
USE01259,JOB0037,EX003,26T Excavator,2026-01-26,Geelong,9.0,False,False,William Jones
USE01285,JOB0037,LD002,Loader 4m,2026-01-26,Geelong,7.5,False,True,Jack Smith
USE01409,JOB0040,EX005,50T Excavator,2026-01-26,Epping,8.5,False,False,Lucas Wilson
USE01381,JOB0040,GR001,Grader 12M,2026-01-26,Epping,10.0,True,False,Thomas Brown
USE01395,JOB0040,LD002,Loader 4m,2026-01-26,Epping,10.5,True,True,Jack Smith
USE00842,JOB0026,BC001,Bobcat+8T Tipper,2026-01-27,Geelong,7.0,False,False,Lachlan Martin
USE00826,JOB0026,EX001,13T Excavator,2026-01-27,Geelong,9.5,False,False,Noah Williams
USE00834,JOB0026,LD001,Loader 3m,2026-01-27,Geelong,7.0,False,False,Noah Williams
USE01234,JOB0037,CP001,Compactor 815F,2026-01-27,Geelong,8.0,False,False,Henry Johnson
USE01247,JOB0037,DT001,Dump Truck 30T,2026-01-27,Geelong,9.0,False,False,Oliver Taylor
USE01273,JOB0037,EX002,20T Excavator,2026-01-27,Geelong,9.5,False,False,Jack Smith
USE01260,JOB0037,EX003,26T Excavator,2026-01-27,Geelong,6.5,False,False,William Jones
USE01286,JOB0037,LD002,Loader 4m,2026-01-27,Geelong,10.0,False,True,Jack Smith
USE01410,JOB0040,EX005,50T Excavator,2026-01-27,Epping,12.0,False,False,Lucas Wilson
USE01382,JOB0040,GR001,Grader 12M,2026-01-27,Epping,8.0,False,False,Thomas Brown
USE01396,JOB0040,LD002,Loader 4m,2026-01-27,Epping,6.0,False,True,Jack Smith
USE01235,JOB0037,CP001,Compactor 815F,2026-01-28,Geelong,9.0,False,False,Henry Johnson
USE01248,JOB0037,DT001,Dump Truck 30T,2026-01-28,Geelong,11.5,True,False,Oliver Taylor
USE01274,JOB0037,EX002,20T Excavator,2026-01-28,Geelong,9.5,False,False,Jack Smith
USE01261,JOB0037,EX003,26T Excavator,2026-01-28,Geelong,9.5,False,False,William Jones
USE01287,JOB0037,LD002,Loader 4m,2026-01-28,Geelong,9.5,False,True,Jack Smith
USE01411,JOB0040,EX005,50T Excavator,2026-01-28,Epping,8.5,True,False,Lucas Wilson
USE01383,JOB0040,GR001,Grader 12M,2026-01-28,Epping,9.0,False,False,Thomas Brown
USE01397,JOB0040,LD002,Loader 4m,2026-01-28,Epping,7.5,False,True,Jack Smith
USE01236,JOB0037,CP001,Compactor 815F,2026-01-29,Geelong,10.0,False,False,Henry Johnson
USE01249,JOB0037,DT001,Dump Truck 30T,2026-01-29,Geelong,8.0,False,False,Oliver Taylor
USE01275,JOB0037,EX002,20T Excavator,2026-01-29,Geelong,9.0,False,False,Jack Smith
USE01262,JOB0037,EX003,26T Excavator,2026-01-29,Geelong,9.5,False,False,William Jones
USE01288,JOB0037,LD002,Loader 4m,2026-01-29,Geelong,9.5,False,True,Jack Smith
USE01290,JOB0038,CP001,Compactor 815F,2026-01-29,Melbourne North,7.5,True,True,Henry Johnson
USE01300,JOB0038,DT001,Dump Truck 30T,2026-01-29,Melbourne North,7.5,False,True,Oliver Taylor
USE01412,JOB0040,EX005,50T Excavator,2026-01-29,Epping,8.5,False,False,Lucas Wilson
USE01384,JOB0040,GR001,Grader 12M,2026-01-29,Epping,9.5,False,False,Thomas Brown
USE01398,JOB0040,LD002,Loader 4m,2026-01-29,Epping,11.0,False,True,Jack Smith
USE01237,JOB0037,CP001,Compactor 815F,2026-01-30,Geelong,11.0,False,True,Henry Johnson
USE01250,JOB0037,DT001,Dump Truck 30T,2026-01-30,Geelong,7.5,False,True,Oliver Taylor
USE01276,JOB0037,EX002,20T Excavator,2026-01-30,Geelong,7.5,True,False,Jack Smith
USE01263,JOB0037,EX003,26T Excavator,2026-01-30,Geelong,8.0,False,False,William Jones
USE01289,JOB0037,LD002,Loader 4m,2026-01-30,Geelong,10.0,False,True,Jack Smith
USE01291,JOB0038,CP001,Compactor 815F,2026-01-30,Melbourne North,7.5,False,True,Henry Johnson
USE01301,JOB0038,DT001,Dump Truck 30T,2026-01-30,Melbourne North,7.5,False,True,Oliver Taylor
USE01413,JOB0040,EX005,50T Excavator,2026-01-30,Epping,10.0,True,False,Lucas Wilson
USE01385,JOB0040,GR001,Grader 12M,2026-01-30,Epping,10.0,False,False,Thomas Brown
USE01399,JOB0040,LD002,Loader 4m,2026-01-30,Epping,8.5,True,True,Jack Smith
USE01292,JOB0038,CP001,Compactor 815F,2026-01-31,Melbourne North,8.0,False,False,Henry Johnson
USE01302,JOB0038,DT001,Dump Truck 30T,2026-01-31,Melbourne North,8.5,False,False,Oliver Taylor
USE01414,JOB0040,EX005,50T Excavator,2026-01-31,Epping,7.0,False,False,Lucas Wilson
USE01386,JOB0040,GR001,Grader 12M,2026-01-31,Epping,8.5,False,False,Thomas Brown
USE01400,JOB0040,LD002,Loader 4m,2026-01-31,Epping,7.0,False,False,Jack Smith
USE01293,JOB0038,CP001,Compactor 815F,2026-02-02,Melbourne North,12.0,False,False,Henry Johnson
USE01303,JOB0038,DT001,Dump Truck 30T,2026-02-02,Melbourne North,9.5,False,False,Oliver Taylor
USE01415,JOB0040,EX005,50T Excavator,2026-02-02,Epping,11.0,False,False,Lucas Wilson
USE01387,JOB0040,GR001,Grader 12M,2026-02-02,Epping,8.5,False,False,Thomas Brown
USE01401,JOB0040,LD002,Loader 4m,2026-02-02,Epping,8.5,False,False,Jack Smith
USE01294,JOB0038,CP001,Compactor 815F,2026-02-03,Melbourne North,8.5,True,False,Henry Johnson
USE01304,JOB0038,DT001,Dump Truck 30T,2026-02-03,Melbourne North,9.0,True,False,Oliver Taylor
USE01416,JOB0040,EX005,50T Excavator,2026-02-03,Epping,8.5,False,False,Lucas Wilson
USE01388,JOB0040,GR001,Grader 12M,2026-02-03,Epping,9.5,False,False,Thomas Brown
USE01402,JOB0040,LD002,Loader 4m,2026-02-03,Epping,6.0,False,False,Jack Smith
USE01295,JOB0038,CP001,Compactor 815F,2026-02-04,Melbourne North,10.0,False,False,Henry Johnson
USE01305,JOB0038,DT001,Dump Truck 30T,2026-02-04,Melbourne North,8.5,False,False,Oliver Taylor
USE01417,JOB0040,EX005,50T Excavator,2026-02-04,Epping,7.5,False,False,Lucas Wilson
USE01389,JOB0040,GR001,Grader 12M,2026-02-04,Epping,9.0,False,False,Thomas Brown
USE01403,JOB0040,LD002,Loader 4m,2026-02-04,Epping,8.0,False,False,Jack Smith
USE01296,JOB0038,CP001,Compactor 815F,2026-02-05,Melbourne North,8.5,False,False,Henry Johnson
USE01306,JOB0038,DT001,Dump Truck 30T,2026-02-05,Melbourne North,8.5,False,False,Oliver Taylor
USE01418,JOB0040,EX005,50T Excavator,2026-02-05,Epping,7.5,False,False,Lucas Wilson
USE01390,JOB0040,GR001,Grader 12M,2026-02-05,Epping,10.0,True,False,Thomas Brown
USE01404,JOB0040,LD002,Loader 4m,2026-02-05,Epping,9.0,False,False,Jack Smith
USE01297,JOB0038,CP001,Compactor 815F,2026-02-06,Melbourne North,10.0,False,False,Henry Johnson
USE01307,JOB0038,DT001,Dump Truck 30T,2026-02-06,Melbourne North,9.5,False,False,Oliver Taylor
USE01419,JOB0040,EX005,50T Excavator,2026-02-06,Epping,8.0,False,False,Lucas Wilson
USE01391,JOB0040,GR001,Grader 12M,2026-02-06,Epping,9.5,False,False,Thomas Brown
USE01405,JOB0040,LD002,Loader 4m,2026-02-06,Epping,8.0,True,False,Jack Smith
USE01298,JOB0038,CP001,Compactor 815F,2026-02-07,Melbourne North,11.0,False,False,Henry Johnson
USE01308,JOB0038,DT001,Dump Truck 30T,2026-02-07,Melbourne North,10.0,False,False,Oliver Taylor
USE00649,JOB0020,EX001,13T Excavator,2026-02-09,Broadmeadows,8.5,False,True,Noah Williams
USE00673,JOB0020,EX005,50T Excavator,2026-02-09,Broadmeadows,10.5,False,True,Lucas Wilson
USE00661,JOB0020,GR001,Grader 12M,2026-02-09,Broadmeadows,10.5,False,True,Thomas Brown
USE01299,JOB0038,CP001,Compactor 815F,2026-02-09,Melbourne North,8.5,False,False,Henry Johnson
USE01309,JOB0038,DT001,Dump Truck 30T,2026-02-09,Melbourne North,10.5,False,False,Oliver Taylor
USE00650,JOB0020,EX001,13T Excavator,2026-02-10,Broadmeadows,12.0,False,False,Noah Williams
USE00674,JOB0020,EX005,50T Excavator,2026-02-10,Broadmeadows,8.5,False,False,Lucas Wilson
USE00662,JOB0020,GR001,Grader 12M,2026-02-10,Broadmeadows,8.5,False,False,Thomas Brown
USE00651,JOB0020,EX001,13T Excavator,2026-02-11,Broadmeadows,8.5,False,False,Noah Williams
USE00675,JOB0020,EX005,50T Excavator,2026-02-11,Broadmeadows,11.5,False,False,Lucas Wilson
USE00663,JOB0020,GR001,Grader 12M,2026-02-11,Broadmeadows,6.5,False,False,Thomas Brown
USE00652,JOB0020,EX001,13T Excavator,2026-02-12,Broadmeadows,9.5,False,False,Noah Williams
USE00676,JOB0020,EX005,50T Excavator,2026-02-12,Broadmeadows,9.5,False,False,Lucas Wilson
USE00664,JOB0020,GR001,Grader 12M,2026-02-12,Broadmeadows,9.5,False,False,Thomas Brown
USE00653,JOB0020,EX001,13T Excavator,2026-02-13,Broadmeadows,11.5,False,False,Noah Williams
USE00677,JOB0020,EX005,50T Excavator,2026-02-13,Broadmeadows,10.0,False,False,Lucas Wilson
USE00665,JOB0020,GR001,Grader 12M,2026-02-13,Broadmeadows,8.5,False,False,Thomas Brown
USE00654,JOB0020,EX001,13T Excavator,2026-02-14,Broadmeadows,9.5,False,False,Noah Williams
USE00678,JOB0020,EX005,50T Excavator,2026-02-14,Broadmeadows,10.5,False,False,Lucas Wilson
USE00666,JOB0020,GR001,Grader 12M,2026-02-14,Broadmeadows,9.5,False,False,Thomas Brown
USE00655,JOB0020,EX001,13T Excavator,2026-02-16,Broadmeadows,8.0,False,False,Noah Williams
USE00679,JOB0020,EX005,50T Excavator,2026-02-16,Broadmeadows,8.5,False,False,Lucas Wilson
USE00667,JOB0020,GR001,Grader 12M,2026-02-16,Broadmeadows,10.0,False,False,Thomas Brown
USE00685,JOB0021,DZ001,Dozer D6,2026-02-16,Campbellfield,8.5,True,True,William Jones
USE00701,JOB0021,EX003,26T Excavator,2026-02-16,Campbellfield,12.0,False,True,William Jones
USE00693,JOB0021,EX004,35T Excavator,2026-02-16,Campbellfield,8.5,False,False,Thomas Brown
USE00697,JOB0021,EX005,50T Excavator,2026-02-16,Campbellfield,11.5,False,True,Lucas Wilson
USE00689,JOB0021,LD001,Loader 3m,2026-02-16,Campbellfield,9.5,False,True,Noah Williams
USE00656,JOB0020,EX001,13T Excavator,2026-02-17,Broadmeadows,8.0,False,False,Noah Williams
